id,Cycle,Time,Total_Energy,Gas_Energy,Density
83,210,106.434,0.904560,-4.882356,-5.257844
84,206,105.056,0.807658,-4.469034,-4.612332
85,191,95.975,0.346453,-2.036327,-5.840752
86,207,101.876,0.549182,-4.030225,-5.338886
87,215,97.880,0.930903,-4.637798,-5.371184
88,186,106.965,0.410917,-3.027047,-5.635166
89,192,102.024,0.553386,-4.099585,-5.504631
90,203,104.701,0.701160,-4.704772,-5.090933
91,194,95.100,0.912829,-5.143541,-5.140849
92,187,101.687,0.775813,-4.303553,-5.232811
93,214,95.526,0.891278,-5.340687,-5.052758
94,218,107.197,0.862176,-5.198637,-5.308297
95,205,105.283,0.867042,-5.274345,-5.215282
96,183,96.631,0.516863,-3.313951,-5.896776
97,191,96.844,0.552299,-4.064023,-5.543335
98,219,98.550,0.316248,-2.786486,-5.681827
99,216,99.518,0.884919,-4.521314,-5.231764
100,190,105.578,0.179032,-0.553638,-5.823280
101,202,99.241,0.610408,-4.625323,-5.065193
102,181,105.283,0.534946,-3.792169,-5.415656
103,215,103.940,0.921911,-4.288760,-5.555089
104,195,104.130,0.400940,-2.910872,-5.680554
105,210,96.956,0.915095,-4.863275,-5.384306
106,197,95.842,0.854848,-4.907230,-4.987346
107,180,100.960,0.625161,-4.187709,-5.320937
108,189,105.982,0.712347,-4.859624,-5.513654
109,206,102.066,0.127734,0.023953,-5.911485
110,193,101.416,0.293960,-1.826775,-5.784547
111,212,95.009,0.491830,-3.641537,-5.460203
112,181,103.394,0.845092,-4.754250,-4.831402
113,197,103.893,0.451486,-3.728886,-5.629237
114,184,96.022,0.355069,-2.203711,-6.035394
115,212,101.533,0.833854,-4.992061,-5.291246
116,192,96.239,0.317493,-2.002975,-5.629410
117,193,108.463,0.774309,-4.945090,-5.435607
118,213,106.210,0.399122,-2.581467,-5.945091
119,217,106.349,0.767464,-4.333431,-5.892907
120,196,103.563,0.968786,-4.696070,-5.140815
121,194,102.728,0.706804,-4.206062,-4.822543
122,213,108.766,0.957275,-5.060550,-5.533264
123,206,106.025,0.215094,-0.770783,-5.808607
124,205,97.858,0.909520,-5.454500,-5.105605
125,216,106.999,0.336833,-2.313247,-5.511061
126,201,101.304,0.537391,-4.926372,-5.051646
127,187,105.370,0.867207,-4.398804,-5.803932
128,190,107.799,0.763412,-5.612949,-5.202643
129,188,107.315,0.866291,-4.570832,-5.274069
130,209,107.305,0.620959,-4.419013,-5.198737
131,205,102.268,0.743527,-4.670038,-4.826260
132,195,105.147,0.915182,-4.878692,-5.703814
133,217,108.495,0.521836,-3.701530,-5.614405
134,197,104.309,0.918270,-5.646122,-5.871916
135,204,108.753,0.445027,-3.412668,-5.647562
136,192,103.344,0.641632,-4.403298,-5.434954
137,213,101.043,0.805203,-4.666085,-4.730907
138,201,98.954,0.365463,-2.578569,-6.041292
139,207,100.367,0.557730,-4.917167,-5.409329
140,187,107.490,0.734605,-4.759796,-5.423261
141,182,108.184,0.963293,-5.273970,-5.479864
142,199,99.434,0.932194,-4.218412,-5.777419
143,212,96.032,0.201913,-0.899975,-6.047860
144,197,103.608,0.590091,-4.621176,-5.238242
145,217,102.442,0.669204,-4.660817,-5.318283
146,217,96.784,0.967381,-5.727013,-5.214327
147,202,95.017,0.889004,-4.390843,-4.713840
148,183,96.431,0.760959,-4.365646,-5.035300
149,206,98.274,0.267290,-1.436505,-5.685398
150,187,101.873,0.567965,-4.130846,-5.175208
151,190,102.073,0.991800,-5.147619,-5.214756
152,182,104.652,0.797492,-4.822973,-4.735612
153,185,102.478,0.356271,-2.104585,-6.120604
154,192,106.460,0.918833,-5.340856,-5.489740
155,198,102.876,0.959178,-4.981029,-5.704219
156,218,104.564,0.950552,-4.995343,-4.715282
157,187,99.130,0.638868,-3.891774,-5.310625
158,200,96.644,0.089735,0.470321,-5.690885
159,202,102.508,0.570107,-4.461299,-5.523050
160,196,100.777,0.353203,-2.785413,-5.984919
161,210,95.475,0.982674,-5.389749,-5.677883
162,205,101.397,0.432191,-3.237102,-5.470753
163,208,108.854,0.750468,-4.836215,-5.281113
164,200,106.478,0.585919,-3.809580,-5.525185
165,187,102.763,0.562924,-4.290204,-5.706719
166,209,98.740,1.000145,-5.372971,-5.120908
167,195,100.067,0.866093,-5.455355,-5.458260
168,183,105.716,0.694257,-4.771351,-5.013982
169,217,97.143,0.951710,-5.705915,-4.862869
170,193,99.132,0.593516,-4.028954,-5.380110
171,211,106.954,0.352011,-2.493268,-5.753558
172,189,108.663,0.680533,-4.533433,-5.296211
173,193,103.420,0.805279,-4.517865,-5.065904
174,185,100.657,0.774183,-4.957372,-4.897863
175,194,98.190,0.303065,-2.288498,-5.940549
176,184,108.491,0.682630,-4.842270,-5.924349
177,194,95.973,0.734800,-5.178617,-4.954591
178,189,102.529,1.004569,-4.383416,-5.181563
179,199,98.842,0.668699,-4.780473,-5.239594
180,190,101.284,0.791487,-3.932068,-5.550755
181,193,106.125,0.633129,-4.223337,-5.041034
182,191,104.385,0.775980,-4.231070,-5.457772
183,204,97.091,0.880164,-4.892495,-5.624845
184,185,105.979,0.989909,-5.518133,-5.215957
185,183,97.255,0.732165,-4.863674,-5.321553
186,210,101.346,0.997090,-6.386610,-4.717895
187,209,108.287,0.402162,-3.103718,-6.057006
188,219,98.441,0.386478,-3.005614,-5.836513
189,189,103.015,0.599774,-4.736848,-5.614762
190,181,103.081,0.425408,-2.938234,-5.896393
191,201,103.495,0.899759,-4.867906,-5.744271
192,212,108.782,0.345989,-2.684900,-5.710319
193,194,97.555,0.737977,-4.432694,-5.452866
194,186,95.518,0.587312,-3.816954,-5.786663
195,185,108.776,0.976661,-5.201072,-5.254728
196,183,108.547,0.906468,-4.557643,-5.976956
197,190,98.779,0.547040,-4.044647,-5.046143
198,191,99.269,0.828228,-5.770739,-5.416636
199,218,99.441,0.664232,-4.407839,-5.332013
200,207,97.059,0.618946,-4.325284,-5.304729
201,199,107.339,0.645134,-4.017277,-5.080890
202,188,102.369,0.813761,-4.573307,-5.313074
203,206,106.899,0.302083,-1.900725,-5.770058
204,199,108.271,0.451742,-3.100306,-5.654636
205,204,103.048,0.969807,-4.807059,-5.458771
206,209,102.826,0.675207,-5.359117,-5.528227
207,196,105.565,0.953829,-5.089797,-5.520180
208,198,108.866,0.646057,-4.368067,-5.388986
209,200,101.774,0.892584,-5.307082,-5.365401
210,185,106.074,0.860688,-5.487330,-5.345286
211,207,105.263,0.784751,-4.553864,-5.197542
212,214,98.605,0.693611,-5.338721,-5.145249
213,212,99.043,0.697375,-5.106959,-5.120487
214,182,95.460,0.597373,-4.233900,-5.542276
215,200,102.953,0.692956,-4.754484,-5.575416
216,183,105.312,0.819573,-4.973502,-5.109853
217,206,101.181,0.488319,-3.708515,-5.498629
218,181,98.409,0.651238,-4.540708,-5.267730
219,180,104.104,0.414064,-3.454632,-5.620605
220,204,107.651,0.512679,-3.671468,-5.601030
221,207,107.255,0.616346,-4.411433,-4.773595
222,183,107.602,0.488015,-3.849251,-5.596084
223,184,96.536,0.508953,-3.680105,-5.582362
224,208,104.419,0.174220,-0.330503,-5.746274
225,185,95.229,0.897277,-4.979869,-5.142532
226,199,103.750,0.886803,-5.163175,-4.504341
227,180,101.486,0.580751,-4.824307,-5.541604
228,214,98.586,0.796209,-5.619629,-5.329201
229,205,107.371,0.284768,-1.935347,-5.811698
230,182,108.140,0.707429,-4.622827,-5.171914
231,206,108.850,0.895453,-4.800107,-5.594479
232,181,101.417,1.004036,-5.246844,-5.410930
233,212,107.022,0.482798,-3.815720,-5.420516
234,203,95.339,0.390827,-3.376898,-5.590464
235,215,96.221,0.856663,-3.899411,-5.543431
236,209,103.081,0.603420,-4.498757,-5.478370
237,214,102.444,0.851726,-4.926702,-5.574372
238,188,98.052,0.725201,-4.896770,-5.350588
239,204,95.710,0.910659,-5.756930,-5.555793
240,189,98.000,0.622798,-4.826828,-5.770302
241,190,99.538,0.682776,-4.788080,-4.987175
242,216,107.776,0.163240,-0.547199,-5.844544
243,184,96.417,0.493732,-4.155786,-5.674326
244,186,107.738,0.969861,-4.723239,-5.213641
245,187,101.193,0.976533,-5.129099,-5.412654
246,217,95.416,0.690601,-4.778372,-4.631821
247,185,96.935,0.484451,-3.805766,-5.419183
248,186,106.483,0.588767,-4.545509,-5.938126
249,187,107.424,0.940149,-4.358686,-5.475797
250,213,99.392,0.407982,-2.852819,-5.875905
251,187,100.735,0.458497,-3.023243,-5.698161
252,217,96.386,0.995479,-5.008814,-5.075712
253,206,99.654,0.982884,-5.087669,-5.560559
254,195,96.570,0.413736,-3.453525,-5.834207
255,183,101.500,0.960511,-4.678886,-5.508017
256,214,99.139,0.921924,-5.073739,-5.427641
257,196,100.332,0.604356,-4.784486,-5.480068
258,180,100.693,0.839647,-4.653069,-5.153673
259,200,102.640,0.776440,-4.764638,-4.652237
260,211,98.055,0.223183,-0.774504,-5.834838
261,207,101.444,0.995036,-5.481122,-5.633687
262,197,100.880,0.440615,-3.880333,-5.698840
263,204,105.221,0.915098,-4.363252,-5.566050
264,213,95.538,0.337974,-2.441532,-5.829105
265,204,108.597,0.261504,-1.651355,-5.718604
266,203,106.804,0.632321,-4.803451,-5.760206
267,212,99.244,0.192612,-0.842578,-5.837472
268,211,100.096,0.777679,-5.167869,-5.236586
269,215,103.134,0.752782,-4.562752,-5.474109
270,210,103.359,0.523841,-3.487338,-5.428001
271,192,97.183,0.976201,-4.872786,-5.402452
272,215,108.729,0.712960,-5.133877,-5.094010
273,181,104.022,0.202150,-0.886731,-5.879384
274,188,96.438,0.704158,-4.251448,-5.148701
275,212,96.649,0.402999,-2.762186,-5.703959
276,187,104.602,0.502250,-3.271429,-5.423326
277,198,102.434,0.911941,-5.407382,-5.443355
278,181,108.005,0.174028,-0.761892,-5.845036
279,183,95.629,0.799140,-4.926955,-5.214547
280,193,98.316,0.879576,-5.025363,-5.800034
281,215,108.787,0.719520,-5.032509,-5.135876
282,215,98.128,0.697894,-4.794162,-5.650544
283,205,105.767,0.717835,-4.344913,-5.530854
284,182,107.436,0.468619,-3.576146,-5.286136
285,217,105.602,0.422752,-3.409475,-5.818055
286,211,108.118,0.297251,-2.055750,-5.873949
287,184,96.246,0.566201,-4.172809,-5.652367
288,199,99.075,0.201733,-0.756486,-5.766622
289,201,102.469,0.782749,-4.333862,-5.127171
290,190,102.891,0.869545,-4.974095,-5.459683
291,193,100.116,0.521709,-3.885875,-5.561674
292,199,96.230,0.764600,-5.001469,-5.727352
293,181,107.440,0.913105,-5.189692,-5.180321
294,195,106.810,0.895155,-4.692773,-4.858789
295,186,95.435,0.886245,-5.361738,-5.212758
296,216,99.719,0.598668,-3.679233,-6.210941
297,207,105.584,0.736169,-4.823874,-5.087239
298,180,98.727,0.566677,-4.712425,-5.174474
299,194,95.035,0.946540,-5.323910,-5.069074
300,202,99.858,0.620052,-4.072538,-5.142019
301,201,108.899,0.832688,-5.193317,-5.215794
302,209,98.290,0.802044,-4.159963,-5.298865
303,207,95.948,0.783409,-4.822549,-4.987099
304,207,100.625,0.971672,-4.101400,-6.229934
305,209,96.852,0.926563,-4.723583,-5.272254
306,185,101.820,0.734393,-4.920357,-4.741717
307,182,106.633,0.951643,-4.723742,-5.853554
308,201,106.680,0.940940,-4.984086,-5.467123
309,190,101.012,0.903777,-4.463474,-5.445521
310,217,108.477,0.964115,-6.070293,-5.297188
311,199,96.431,0.104149,0.028434,-5.789748
312,201,101.119,0.984112,-5.744413,-5.681803
313,204,100.954,0.716551,-4.571485,-5.594864
314,211,106.088,0.432885,-3.224212,-5.747414
315,204,101.832,0.666423,-4.000578,-5.245830
316,190,101.233,0.746692,-5.541307,-4.923637
317,190,98.578,0.657001,-4.878515,-5.715379
318,189,103.933,0.707942,-4.855997,-5.396149
319,188,97.429,0.196068,-0.684872,-5.934650
320,200,106.193,0.638724,-4.330929,-5.185612
321,192,105.115,0.710041,-4.879870,-5.216311
322,210,98.367,0.684280,-4.548038,-5.196981
323,182,96.500,0.794455,-5.015365,-5.541107
324,192,108.568,0.479587,-3.302627,-5.644600
325,181,95.576,0.502657,-4.318637,-5.733057
326,219,101.982,0.763598,-5.041643,-5.046227
327,210,103.291,0.933029,-5.217936,-5.882691
328,183,99.987,0.434555,-3.314192,-5.611050
329,187,105.373,0.143206,-0.457203,-5.715733
330,196,101.601,0.760169,-4.958553,-5.312709
331,181,100.130,0.200356,-0.904800,-5.898258
332,196,102.227,0.303969,-1.886224,-5.843938
333,195,106.834,0.842739,-5.141219,-5.068489
334,193,95.216,0.308816,-2.213545,-5.654503
335,206,101.961,0.337128,-2.374085,-6.062574
336,211,103.740,0.704461,-4.766572,-5.348545
337,217,106.672,0.650952,-4.464814,-5.448776
338,201,101.113,0.401890,-2.730216,-5.883058
339,209,105.521,0.584714,-3.755529,-5.505115
340,208,96.760,0.255471,-1.633412,-6.102929
341,193,101.295,0.900612,-4.480419,-5.056831
342,185,101.496,0.101329,0.367975,-5.765759
343,196,98.754,0.479047,-3.920005,-5.528109
344,187,100.589,0.792378,-4.697618,-5.449814
345,180,95.792,0.954163,-4.481840,-5.084152
346,183,106.369,0.658755,-4.600151,-5.239398
347,181,99.062,0.453113,-4.012831,-5.821718
348,181,98.546,0.680004,-4.503185,-5.262515
349,185,100.269,0.584482,-4.333846,-5.502208
350,211,99.763,0.827739,-5.372389,-5.394097
351,208,107.774,0.633238,-4.197562,-5.363261
352,185,98.444,0.409246,-2.589058,-5.754058
353,213,107.856,0.925833,-4.998157,-5.496826
354,184,102.255,0.569137,-3.959340,-5.824818
355,211,104.663,0.391361,-2.262647,-5.926050
356,194,106.616,0.788178,-4.913906,-5.530896
357,203,98.085,0.937537,-5.009956,-5.426151
358,194,106.383,0.823172,-4.735618,-5.409855
359,191,100.978,0.495199,-3.599377,-5.636764
360,183,101.426,0.331417,-2.069269,-5.600348
361,201,108.300,0.622582,-3.913010,-5.446451
362,187,103.122,0.959568,-4.296273,-5.527463
363,207,101.635,0.843664,-4.624547,-5.427320
364,187,104.865,0.831915,-4.587449,-4.802202
365,209,100.043,0.873640,-4.832185,-5.685692
366,210,99.530,0.740563,-4.621225,-4.800897
367,199,108.972,0.639022,-4.112834,-5.298569
368,210,107.157,0.132458,-0.090077,-5.693499
369,200,108.535,0.828043,-4.629886,-5.149184
370,201,100.388,0.361272,-2.283565,-5.927477
371,189,104.959,0.545425,-4.076424,-5.380003
372,189,97.901,0.840238,-5.477182,-5.129784
373,187,96.521,0.891960,-5.575340,-4.960575
374,195,102.459,0.649370,-4.489443,-5.557966
375,192,106.463,0.732126,-4.907699,-5.313677
376,201,97.980,0.223433,-0.846434,-5.800542
377,215,105.889,0.657338,-4.873906,-5.654752
378,211,97.097,0.075274,0.296161,-5.742936
379,216,95.995,0.204693,-1.043388,-6.080974
380,207,107.432,0.798777,-4.541021,-4.976897
381,190,98.788,0.755953,-4.391583,-5.103780
382,188,108.191,0.594452,-4.252877,-5.355009
383,192,96.461,0.874105,-4.887014,-5.677730
384,190,95.820,0.697280,-5.149189,-5.203962
385,194,101.137,0.635935,-4.913935,-5.228670
386,193,105.821,0.954382,-5.119738,-5.494144
387,217,104.418,0.803551,-4.230446,-5.436381
388,208,99.753,0.415126,-2.368416,-5.754616
389,188,97.055,0.531942,-4.180108,-5.736416
390,198,99.205,0.785705,-4.404045,-5.624159
391,191,107.437,0.813120,-4.924196,-5.462516
392,199,103.176,0.911276,-5.282294,-5.169356
393,209,106.630,0.594355,-4.195754,-5.495459
394,211,101.494,0.781270,-4.805960,-4.967964
395,216,101.034,0.731430,-4.909666,-5.439362
396,218,106.623,1.046091,-5.478279,-5.612712
397,186,105.280,0.743773,-4.296569,-5.474004
398,205,97.603,0.397530,-2.819168,-5.983251
399,203,103.336,0.818460,-4.991235,-5.384371
400,192,95.727,0.330549,-2.307898,-5.866370
401,205,107.298,0.157087,-0.286820,-5.947136
402,200,108.013,0.933543,-5.864787,-5.457300
403,200,107.498,0.491202,-3.552327,-5.685918
404,193,102.166,0.927150,-6.047250,-5.262364
405,204,107.164,0.844844,-4.527090,-5.853911
406,191,98.423,0.463260,-3.212454,-6.013384
407,186,97.678,0.757222,-3.705980,-5.190850
408,182,102.481,0.727202,-4.797091,-5.431786
409,219,102.434,0.510296,-3.684419,-5.687176
410,198,100.572,0.759535,-4.759930,-4.916855
411,196,102.401,0.659708,-4.624746,-5.021793
412,219,101.484,0.504300,-3.741260,-5.481118
413,201,105.034,0.189654,-0.645234,-5.893643
414,202,96.188,0.778796,-4.847687,-5.278906
415,209,102.435,0.519294,-4.583049,-5.666783
416,202,107.145,0.549663,-3.814718,-5.406676
417,193,103.569,0.548299,-4.563594,-5.610535
418,182,99.914,0.852112,-5.391232,-5.086732
419,195,98.348,0.780806,-4.639053,-4.925770
420,209,106.044,0.416274,-2.763437,-5.545900
421,194,100.493,0.916354,-5.491898,-4.912728
422,206,96.690,0.899704,-5.130302,-5.218172
423,208,100.019,0.417959,-2.986317,-5.771975
424,193,100.980,0.923334,-4.870530,-5.853761
425,213,102.415,0.525501,-3.682072,-6.063259
426,180,96.244,0.390135,-3.029051,-5.649163
427,212,108.359,0.456793,-3.576257,-5.547916
428,193,105.650,1.010545,-5.128180,-5.336420
429,209,97.066,0.567282,-4.201210,-5.646738
430,185,100.306,0.845487,-5.093477,-5.505178
431,208,107.948,0.850620,-4.181945,-5.558618
432,182,108.439,0.766951,-4.403507,-5.708660
433,182,104.752,0.595058,-3.467456,-5.785587
434,219,96.750,0.653483,-4.900216,-5.011523
435,181,104.124,0.334827,-2.465754,-5.697224
436,216,105.220,0.270262,-1.664575,-5.961621
437,202,107.712,0.707684,-4.960108,-5.396252
438,216,95.917,0.397147,-3.196430,-5.696446
439,213,106.380,0.726870,-5.062865,-5.409016
440,197,108.088,0.479436,-3.706379,-5.307325
441,210,105.925,0.631275,-4.764067,-5.492811
442,216,103.673,0.455203,-3.581844,-5.729029
443,187,98.781,0.833993,-4.967455,-5.428625
444,194,98.001,0.633746,-4.241872,-5.257542
445,219,97.818,0.886940,-4.585193,-4.696459
446,183,102.135,0.906574,-5.157556,-5.092876
447,205,104.349,0.384765,-2.950847,-5.485159
448,181,100.225,0.852697,-4.845544,-5.124056
449,203,95.813,0.944970,-5.057931,-5.426414
450,216,101.324,0.764656,-4.779356,-5.857265
451,197,104.073,0.811492,-4.784258,-5.454803
452,184,99.068,0.780036,-5.115105,-5.260065
453,185,103.856,0.565806,-4.870770,-5.370306
454,218,98.591,0.338140,-2.698026,-6.277967
455,195,99.272,0.497522,-3.702680,-5.803232
456,210,106.035,0.725108,-4.968085,-4.942615
457,186,107.137,0.797026,-4.856442,-4.754984
458,189,105.626,0.984155,-5.822386,-5.525466
459,209,100.052,0.711743,-4.983053,-5.584367
460,217,105.890,0.683293,-4.773720,-5.053205
461,182,100.090,0.252395,-0.934656,-6.001069
462,215,106.559,0.498051,-3.693256,-5.918090
463,194,96.726,0.429205,-3.806405,-5.815856
464,218,106.537,0.824430,-5.167768,-5.087839
465,192,103.335,0.609724,-4.142676,-5.273718
466,216,106.929,0.497320,-4.209042,-5.328977
467,200,101.187,0.976439,-5.695159,-4.948772
468,202,98.356,0.853039,-4.854780,-5.276030
469,192,102.587,0.527821,-4.468446,-5.082351
470,206,96.040,0.744883,-5.042660,-5.554947
471,191,100.816,0.446949,-3.331174,-5.999771
472,196,106.038,0.941746,-4.453419,-5.275261
473,213,108.920,0.778895,-4.609427,-5.519996
474,196,106.485,0.702716,-4.633476,-5.379877
475,186,104.845,0.896158,-4.960898,-5.414478
476,217,98.467,0.909612,-4.408934,-5.065074
477,192,103.296,0.870466,-4.044333,-5.344373
478,188,98.741,0.300340,-1.244352,-5.742110
479,198,101.682,0.845749,-5.070820,-4.812575
480,192,104.112,0.791032,-5.462637,-4.956482
481,212,95.702,0.610778,-3.979849,-4.970059
482,198,95.369,0.844131,-4.804830,-4.535555
483,181,108.136,0.630448,-4.070283,-5.526664
484,183,95.075,0.733701,-4.865281,-5.318273
485,194,103.313,0.689864,-4.907273,-5.388775
486,203,99.869,0.394869,-2.770495,-5.780541
487,184,104.692,0.892886,-5.048206,-5.463746
488,190,98.310,0.985346,-5.005188,-5.203048
489,218,108.342,0.810097,-4.779316,-5.308164
490,209,106.593,0.711287,-4.645621,-5.103769
491,210,104.169,0.286575,-1.429791,-5.915866
492,206,99.201,0.785432,-4.761833,-5.226112
493,187,103.420,0.566537,-4.538877,-5.331778
494,203,105.272,0.575038,-4.172099,-5.355656
495,207,101.918,0.708747,-4.526244,-5.171360
496,206,105.839,0.699367,-4.341519,-5.011853
497,202,106.019,0.775050,-4.995911,-5.226673
498,210,95.532,1.004812,-4.833852,-5.584864
499,201,102.051,0.405725,-3.775251,-5.580336
500,210,108.628,0.724942,-4.608173,-5.694401
501,204,99.350,0.871904,-5.586243,-5.901296
502,208,104.568,0.757031,-4.323007,-4.852257
503,195,98.042,0.802079,-4.414183,-5.121080
504,183,101.426,0.652583,-4.135654,-5.792777
505,182,102.736,0.371019,-2.661697,-6.146930
506,208,105.392,0.870790,-5.061448,-4.755689
507,199,103.983,0.106484,0.411040,-5.721506
508,203,98.689,0.446472,-3.178952,-5.902814
509,180,98.934,0.542642,-3.802137,-5.370277
510,184,96.419,0.910146,-4.853149,-5.802966
511,193,105.026,0.917446,-4.615690,-5.810768
512,212,101.377,0.551952,-3.771371,-5.608697
513,200,99.341,0.749319,-4.789681,-4.937329
514,214,107.421,0.198347,-0.884209,-5.792274
515,209,98.250,0.655487,-4.590313,-5.347922
516,217,106.223,1.018149,-5.233948,-5.622806
517,212,102.381,0.452426,-3.835151,-5.810068
518,184,106.642,0.900429,-5.132981,-4.723065
519,196,103.629,0.482707,-3.620489,-5.564111
520,208,96.087,0.537374,-3.645598,-5.392102
521,218,103.710,0.501703,-3.665518,-5.536315
522,200,106.716,0.707000,-4.533418,-5.028535
523,187,105.330,0.826112,-4.274893,-5.609820
524,183,99.116,0.734684,-4.779964,-5.668131
525,181,100.121,0.550207,-4.496245,-5.461005
526,211,95.176,0.813241,-5.278992,-5.217468
527,196,101.753,0.500754,-3.438996,-5.880744
528,195,98.173,0.579764,-3.380143,-5.808856
529,208,108.970,0.429208,-2.855739,-5.844004
530,215,102.453,0.975634,-4.894876,-5.109120
531,203,95.407,0.874059,-5.964763,-4.986155
532,193,103.844,0.303800,-1.756524,-5.722714
533,182,100.266,0.734457,-5.709186,-5.074736
534,186,101.431,0.843409,-5.126837,-5.521733
535,219,103.101,0.555260,-3.684443,-5.505424
536,203,103.500,0.365245,-2.655071,-5.741028
537,218,97.239,0.804022,-5.105002,-5.894433
538,205,102.968,0.789492,-4.471169,-5.470201
539,184,107.163,0.530993,-4.273896,-5.559902
540,202,102.598,0.657422,-4.421128,-5.607921
541,185,106.845,0.785894,-4.878571,-5.090088
542,180,96.521,0.782383,-4.523360,-5.156518
543,218,108.931,0.621583,-5.106305,-5.516109
544,192,106.166,0.653221,-4.841125,-5.216742
545,199,98.739,1.001213,-5.430582,-5.211109
546,212,106.530,0.961497,-4.393474,-5.678971
547,191,106.511,0.786412,-5.129824,-4.907876
548,190,101.557,0.854084,-4.531494,-5.123237
549,190,105.375,0.911127,-5.497205,-5.374323
550,201,96.860,0.391624,-2.723348,-5.610260
551,200,105.477,0.724520,-4.587822,-5.409417
552,208,97.048,0.826670,-5.330283,-5.817634
553,219,103.710,0.758388,-5.265017,-4.990881
554,212,105.433,0.487152,-3.596803,-5.433372
555,217,104.583,0.660796,-4.208832,-5.422647
556,192,101.699,0.897599,-4.846227,-5.193851
557,196,108.202,0.596138,-4.640707,-5.426659
558,218,97.089,0.724837,-4.242107,-5.156932
