event_id,user_id,session_min,page_views,add_to_cart,revenue_usd,device_score,region_id,day_of_week,hour_utc,anomaly_score
79,1078,35,93,0,46.02,0.14,7,1,6,0.348
80,1079,36,82,0,47.75,0.27,8,2,7,0.347
81,1080,37,90,0,49.48,0.40,9,3,8,0.346
82,1081,38,98,0,51.21,0.53,10,4,9,0.345
83,1082,39,87,0,52.94,0.66,11,5,10,0.344
84,1083,40,95,0,54.67,0.79,12,6,11,0.343
85,1084,41,103,0,56.40,0.92,1,0,12,0.341
86,1085,42,92,0,58.13,0.05,2,1,13,0.340
87,1086,43,100,0,59.87,0.18,3,2,14,0.339
88,1087,44,89,0,61.60,0.31,4,3,15,0.337
89,1088,45,97,1,63.33,0.44,5,4,16,0.335
90,1089,46,105,0,65.06,0.57,6,5,17,0.334
91,1090,2,94,0,66.79,0.70,7,6,18,0.332
92,1091,3,102,0,68.52,0.83,8,0,19,0.330
93,1092,4,110,0,70.25,0.96,9,1,20,0.328
94,1093,5,99,0,71.98,0.09,10,2,21,0.326
95,1094,6,107,0,73.71,0.22,11,3,22,0.324
96,1095,7,96,0,75.44,0.35,12,4,23,0.322
97,1096,8,104,0,77.18,0.48,1,5,0,0.320
98,1097,9,112,0,78.91,0.61,2,6,1,0.318
99,1098,10,101,0,80.64,0.74,3,0,2,0.316
100,1099,11,109,1,82.37,0.87,4,1,3,0.313
101,1100,12,117,0,84.10,0.00,5,2,4,0.311
102,1101,13,106,0,85.83,0.13,6,3,5,0.308
103,1102,14,114,0,87.56,0.26,7,4,6,0.306
104,1103,15,122,0,0.29,0.39,8,5,7,0.303
105,1104,16,111,0,2.02,0.52,9,6,8,0.301
106,1105,17,119,0,3.75,0.65,10,0,9,0.298
107,1106,18,108,0,5.49,0.78,11,1,10,0.295
108,1107,19,116,0,7.22,0.91,12,2,11,0.292
109,1108,20,124,0,8.95,0.04,1,3,12,0.290
110,1109,21,113,0,10.68,0.17,2,4,13,0.287
111,1110,22,121,1,12.41,0.30,3,5,14,0.284
112,1111,23,129,0,14.14,0.43,4,6,15,0.281
113,1112,24,118,0,15.87,0.56,5,0,16,0.278
114,1113,25,126,0,17.60,0.69,6,1,17,0.274
115,1114,26,115,0,19.33,0.82,7,2,18,0.271
116,1115,27,123,0,21.06,0.95,8,3,19,0.268
117,1116,28,131,0,22.80,0.08,9,4,20,0.265
118,1117,29,120,0,24.53,0.21,10,5,21,0.261
119,1118,30,128,0,26.26,0.34,11,6,22,0.258
120,1119,31,136,0,27.99,0.47,12,0,23,0.255
121,1120,32,5,0,29.72,0.60,1,1,0,0.251
122,1121,33,13,1,31.45,0.73,2,2,1,0.248
123,1122,34,21,0,33.18,0.86,3,3,2,0.244
124,1123,35,10,0,34.91,0.99,4,4,3,0.240
125,1124,36,18,0,36.64,0.12,5,5,4,0.237
126,1125,37,7,0,38.38,0.25,6,6,5,0.233
127,1126,38,15,0,40.11,0.38,7,0,6,0.229
128,1127,39,23,0,41.84,0.51,8,1,7,0.226
129,1128,40,12,0,43.57,0.64,9,2,8,0.222
130,1129,41,20,0,45.30,0.77,10,3,9,0.218
131,1130,42,28,0,47.03,0.90,11,4,10,0.214
132,1131,43,17,0,48.76,0.03,12,5,11,0.210
133,1132,44,25,1,50.49,0.16,1,6,12,0.206
134,1133,45,14,0,52.22,0.29,2,0,13,0.202
135,1134,46,22,0,53.95,0.42,3,1,14,0.198
136,1135,2,30,0,55.68,0.55,4,2,15,0.194
137,1136,3,19,0,57.42,0.68,5,3,16,0.190
138,1137,4,27,0,59.15,0.81,6,4,17,0.186
139,1138,5,35,0,60.88,0.94,7,5,18,0.182
140,1139,6,24,0,62.61,0.07,8,6,19,0.178
141,1140,7,32,0,64.34,0.20,9,0,20,0.174
142,1141,8,40,0,66.07,0.33,10,1,21,0.170
143,1142,9,29,0,67.80,0.46,11,2,22,0.166
144,1143,10,37,1,69.53,0.59,12,3,23,0.161
145,1144,11,26,0,71.26,0.72,1,4,0,0.157
146,1145,12,34,0,72.99,0.85,2,5,1,0.153
147,1146,13,42,0,74.73,0.98,3,6,2,0.149
148,1147,14,31,0,76.46,0.11,4,0,3,0.144
149,1148,15,39,0,78.19,0.24,5,1,4,0.140
150,1149,16,47,0,79.92,0.37,6,2,5,0.136
151,1150,17,36,0,81.65,0.50,7,3,6,0.132
152,1151,18,44,0,83.38,0.63,8,4,7,0.127
153,1152,19,33,0,85.11,0.76,9,5,8,0.123
154,1153,20,41,0,86.84,0.89,10,6,9,0.119
155,1154,21,49,1,88.57,0.02,11,0,10,0.114
156,1155,22,38,0,1.30,0.15,12,1,11,0.110
157,1156,23,46,0,3.04,0.28,1,2,12,0.106
158,1157,24,54,0,4.77,0.41,2,3,13,0.102
159,1158,25,43,0,6.50,0.54,3,4,14,0.097
160,1159,26,51,0,8.23,0.67,4,5,15,0.093
161,1160,27,59,0,9.96,0.80,5,6,16,0.089
162,1161,28,48,0,11.69,0.93,6,0,17,0.084
163,1162,29,56,0,13.42,0.06,7,1,18,0.080
164,1163,30,45,0,15.15,0.19,8,2,19,0.076
165,1164,31,53,0,16.88,0.32,9,3,20,0.072
166,1165,32,61,1,18.61,0.45,10,4,21,0.067
167,1166,33,50,0,20.35,0.58,11,5,22,0.063
168,1167,34,58,0,22.08,0.71,12,6,23,0.059
169,1168,35,66,0,23.81,0.84,1,0,0,0.055
170,1169,36,55,0,25.54,0.97,2,1,1,0.050
171,1170,37,63,0,27.27,0.10,3,2,2,0.046
172,1171,38,52,0,29.00,0.23,4,3,3,0.042
173,1172,39,60,0,30.73,0.36,5,4,4,0.038
174,1173,40,68,0,32.46,0.49,6,5,5,0.034
175,1174,41,57,0,34.19,0.62,7,6,6,0.030
176,1175,42,65,0,35.92,0.75,8,0,7,0.026
177,1176,43,73,1,37.66,0.88,9,1,8,0.022
178,1177,44,62,0,39.39,0.01,10,2,9,0.018
179,1178,45,70,0,41.12,0.14,11,3,10,0.014
180,1179,46,78,0,42.85,0.27,12,4,11,0.010
181,1180,2,67,0,44.58,0.40,1,5,12,0.010
182,1181,3,75,0,46.31,0.53,2,6,13,0.010
183,1182,4,64,0,48.04,0.66,3,0,14,0.010
184,1183,5,72,0,49.77,0.79,4,1,15,0.010
185,1184,6,80,0,51.50,0.92,5,2,16,0.010
186,1185,7,69,0,53.23,0.05,6,3,17,0.010
187,1186,8,77,0,54.97,0.18,7,4,18,0.010
188,1187,9,85,1,56.70,0.31,8,5,19,0.010
189,1188,10,74,0,58.43,0.44,9,6,20,0.010
190,1189,11,82,0,60.16,0.57,10,0,21,0.010
191,1190,12,71,0,61.89,0.70,11,1,22,0.010
192,1191,13,79,0,63.62,0.83,12,2,23,0.010
193,1192,14,87,0,65.35,0.96,1,3,0,0.010
194,1193,15,76,0,67.08,0.09,2,4,1,0.010
195,1194,16,84,0,68.81,0.22,3,5,2,0.010
196,1195,17,92,0,70.54,0.35,4,6,3,0.010
197,1196,18,81,0,72.28,0.48,5,0,4,0.010
198,1197,19,89,0,74.01,0.61,6,1,5,0.010
199,1198,20,97,1,75.74,0.74,7,2,6,0.010
200,1199,21,86,0,77.47,0.87,8,3,7,0.010
201,1200,22,94,0,79.20,0.00,9,4,8,0.010
202,1201,23,83,0,80.93,0.13,10,5,9,0.010
203,1202,24,91,0,82.66,0.26,11,6,10,0.010
204,1203,25,99,0,84.39,0.39,12,0,11,0.010
205,1204,26,88,0,86.12,0.52,1,1,12,0.010
206,1205,27,96,0,87.85,0.65,2,2,13,0.010
207,1206,28,104,0,0.59,0.78,3,3,14,0.010
208,1207,29,93,0,2.32,0.91,4,4,15,0.010
209,1208,30,101,0,4.05,0.04,5,5,16,0.010
210,1209,31,90,1,5.78,0.17,6,6,17,0.010
211,1210,32,98,0,7.51,0.30,7,0,18,0.010
212,1211,33,106,0,9.24,0.43,8,1,19,0.010
213,1212,34,95,0,10.97,0.56,9,2,20,0.010
214,1213,35,103,0,12.70,0.69,10,3,21,0.010
215,1214,36,111,0,14.43,0.82,11,4,22,0.010
216,1215,37,100,0,16.16,0.95,12,5,23,0.010
217,1216,38,108,0,17.90,0.08,1,6,0,0.010
218,1217,39,116,0,19.63,0.21,2,0,1,0.010
219,1218,40,105,0,21.36,0.34,3,1,2,0.010
220,1219,41,113,0,23.09,0.47,4,2,3,0.010
221,1220,42,102,1,24.82,0.60,5,3,4,0.010
222,1221,43,110,0,26.55,0.73,6,4,5,0.010
223,1222,44,118,0,28.28,0.86,7,5,6,0.010
224,1223,45,107,0,30.01,0.99,8,6,7,0.010
225,1224,46,115,0,31.74,0.12,9,0,8,0.010
226,1225,2,123,0,33.47,0.25,10,1,9,0.010
227,1226,3,112,0,35.21,0.38,11,2,10,0.010
228,1227,4,120,0,36.94,0.51,12,3,11,0.010
229,1228,5,109,0,38.67,0.64,1,4,12,0.010
230,1229,6,117,0,40.40,0.77,2,5,13,0.010
231,1230,7,125,0,42.13,0.90,3,6,14,0.010
232,1231,8,114,1,43.86,0.03,4,0,15,0.010
233,1232,9,122,0,45.59,0.16,5,1,16,0.010
234,1233,10,130,0,47.32,0.29,6,2,17,0.010
235,1234,11,119,0,49.05,0.42,7,3,18,0.010
236,1235,12,127,0,50.78,0.55,8,4,19,0.010
237,1236,13,135,0,52.52,0.68,9,5,20,0.010
238,1237,14,124,0,54.25,0.81,10,6,21,0.010
239,1238,15,132,0,55.98,0.94,11,0,22,0.010
240,1239,16,121,0,57.71,0.07,12,1,23,0.010
241,1240,17,9,0,59.44,0.20,1,2,0,0.010
242,1241,18,17,0,61.17,0.33,2,3,1,0.010
243,1242,19,6,1,62.90,0.46,3,4,2,0.010
244,1243,20,14,0,64.63,0.59,4,5,3,0.010
245,1244,21,22,0,66.36,0.72,5,6,4,0.010
246,1245,22,11,0,68.09,0.85,6,0,5,0.010
247,1246,23,19,0,69.83,0.98,7,1,6,0.010
248,1247,24,8,0,71.56,0.11,8,2,7,0.010
249,1248,25,16,0,73.29,0.24,9,3,8,0.010
250,1249,26,24,0,75.02,0.37,10,4,9,0.010
251,1250,27,13,0,76.75,0.50,11,5,10,0.010
252,1251,28,21,0,78.48,0.63,12,6,11,0.010
253,1252,29,29,0,80.21,0.76,1,0,12,0.010
254,1253,30,18,1,81.94,0.89,2,1,13,0.010
255,1254,31,26,0,83.67,0.02,3,2,14,0.010
256,1255,32,34,0,85.40,0.15,4,3,15,0.010
257,1256,33,23,0,87.14,0.28,5,4,16,0.010
258,1257,34,31,0,88.87,0.41,6,5,17,0.010
259,1258,35,20,0,1.60,0.54,7,6,18,0.010
260,1259,36,28,0,3.33,0.67,8,0,19,0.010
261,1260,37,36,0,5.06,0.80,9,1,20,0.010
262,1261,38,25,0,6.79,0.93,10,2,21,0.010
263,1262,39,33,0,8.52,0.06,11,3,22,0.010
264,1263,40,41,0,10.25,0.19,12,4,23,0.010
265,1264,41,30,1,11.98,0.32,1,5,0,0.010
266,1265,42,38,0,13.71,0.45,2,6,1,0.010
267,1266,43,27,0,15.45,0.58,3,0,2,0.010
268,1267,44,35,0,17.18,0.71,4,1,3,0.010
269,1268,45,43,0,18.91,0.84,5,2,4,0.010
270,1269,46,32,0,20.64,0.97,6,3,5,0.010
271,1270,2,40,0,22.37,0.10,7,4,6,0.010
272,1271,3,48,0,24.10,0.23,8,5,7,0.010
273,1272,4,37,0,25.83,0.36,9,6,8,0.010
274,1273,5,45,0,27.56,0.49,10,0,9,0.010
275,1274,6,53,0,29.29,0.62,11,1,10,0.010
276,1275,7,42,1,31.02,0.75,12,2,11,0.010
277,1276,8,50,0,32.76,0.88,1,3,12,0.010
278,1277,9,39,0,34.49,0.01,2,4,13,0.010
279,1278,10,47,0,36.22,0.14,3,5,14,0.010
280,1279,11,55,0,37.95,0.27,4,6,15,0.010
281,1280,12,44,0,39.68,0.40,5,0,16,0.010
282,1281,13,52,0,41.41,0.53,6,1,17,0.010
283,1282,14,60,0,43.14,0.66,7,2,18,0.010
284,1283,15,49,0,44.87,0.79,8,3,19,0.010
285,1284,16,57,0,46.60,0.92,9,4,20,0.010
286,1285,17,46,0,48.33,0.05,10,5,21,0.010
287,1286,18,54,1,50.07,0.18,11,6,22,0.010
288,1287,19,62,0,51.80,0.31,12,0,23,0.010
289,1288,20,51,0,53.53,0.44,1,1,0,0.010
290,1289,21,59,0,55.26,0.57,2,2,1,0.010
291,1290,22,67,0,56.99,0.70,3,3,2,0.010
292,1291,23,56,0,58.72,0.83,4,4,3,0.010
293,1292,24,64,0,60.45,0.96,5,5,4,0.010
294,1293,25,72,0,62.18,0.09,6,6,5,0.010
295,1294,26,61,0,63.91,0.22,7,0,6,0.010
296,1295,27,69,0,65.64,0.35,8,1,7,0.010
297,1296,28,58,0,67.38,0.48,9,2,8,0.010
298,1297,29,66,1,69.11,0.61,10,3,9,0.010
299,1298,30,74,0,70.84,0.74,11,4,10,0.010
300,1299,31,63,0,72.57,0.87,12,5,11,0.010
301,1300,32,71,0,74.30,0.00,1,6,12,0.010
302,1301,33,79,0,76.03,0.13,2,0,13,0.010
303,1302,34,68,0,77.76,0.26,3,1,14,0.010
304,1303,35,76,0,79.49,0.39,4,2,15,0.010
305,1304,36,65,0,81.22,0.52,5,3,16,0.010
306,1305,37,73,0,82.95,0.65,6,4,17,0.010
307,1306,38,81,0,84.69,0.78,7,5,18,0.010
308,1307,39,70,0,86.42,0.91,8,6,19,0.010
309,1308,40,78,1,88.15,0.04,9,0,20,0.010
310,1309,41,86,0,0.88,0.17,10,1,21,0.010
311,1310,42,75,0,2.61,0.30,11,2,22,0.010
312,1311,43,83,0,4.34,0.43,12,3,23,0.010
313,1312,44,91,0,6.07,0.56,1,4,0,0.010
314,1313,45,80,0,7.80,0.69,2,5,1,0.010
315,1314,46,88,0,9.53,0.82,3,6,2,0.010
316,1315,2,77,0,11.26,0.95,4,0,3,0.010
317,1316,3,85,0,13.00,0.08,5,1,4,0.012
318,1317,4,93,0,14.73,0.21,6,2,5,0.016
319,1318,5,82,0,16.46,0.34,7,3,6,0.019
320,1319,6,90,1,18.19,0.47,8,4,7,0.023
321,1320,7,98,0,19.92,0.60,9,5,8,0.026
322,1321,8,87,0,21.65,0.73,10,6,9,0.029
323,1322,9,95,0,23.38,0.86,11,0,10,0.033
324,1323,10,84,0,25.11,0.99,12,1,11,0.036
325,1324,11,92,0,26.84,0.12,1,2,12,0.040
326,1325,12,100,0,28.57,0.25,2,3,13,0.043
327,1326,13,89,0,30.31,0.38,3,4,14,0.047
328,1327,14,97,0,32.04,0.51,4,5,15,0.050
329,1328,15,105,0,33.77,0.64,5,6,16,0.054
330,1329,16,94,0,35.50,0.77,6,0,17,0.057
331,1330,17,102,1,37.23,0.90,7,1,18,0.061
332,1331,18,110,0,38.96,0.03,8,2,19,0.064
333,1332,19,99,0,40.69,0.16,9,3,20,0.068
334,1333,20,107,0,42.42,0.29,10,4,21,0.071
335,1334,21,96,0,44.15,0.42,11,5,22,0.075
336,1335,22,104,0,45.88,0.55,12,6,23,0.078
337,1336,23,112,0,47.62,0.68,1,0,0,0.081
338,1337,24,101,0,49.35,0.81,2,1,1,0.085
339,1338,25,109,0,51.08,0.94,3,2,2,0.088
340,1339,26,117,0,52.81,0.07,4,3,3,0.092
341,1340,27,106,0,54.54,0.20,5,4,4,0.095
342,1341,28,114,1,56.27,0.33,6,5,5,0.098
343,1342,29,103,0,58.00,0.46,7,6,6,0.102
344,1343,30,111,0,59.73,0.59,8,0,7,0.105
345,1344,31,119,0,61.46,0.72,9,1,8,0.108
346,1345,32,108,0,63.19,0.85,10,2,9,0.111
347,1346,33,116,0,64.93,0.98,11,3,10,0.115
348,1347,34,124,0,66.66,0.11,12,4,11,0.118
349,1348,35,113,0,68.39,0.24,1,5,12,0.121
350,1349,36,121,0,70.12,0.37,2,6,13,0.124
351,1350,37,129,0,71.85,0.50,3,0,14,0.127
352,1351,38,118,0,73.58,0.63,4,1,15,0.131
353,1352,39,126,1,75.31,0.76,5,2,16,0.134
354,1353,40,115,0,77.04,0.89,6,3,17,0.137
355,1354,41,123,0,78.77,0.02,7,4,18,0.140
356,1355,42,131,0,80.50,0.15,8,5,19,0.143
357,1356,43,120,0,82.24,0.28,9,6,20,0.146
358,1357,44,128,0,83.97,0.41,10,0,21,0.149
359,1358,45,136,0,85.70,0.54,11,1,22,0.151
360,1359,46,125,0,87.43,0.67,12,2,23,0.154
361,1360,2,13,0,0.16,0.80,1,3,0,0.157
362,1361,3,2,0,1.89,0.93,2,4,1,0.160
363,1362,4,10,0,3.62,0.06,3,5,2,0.163
364,1363,5,18,1,5.35,0.19,4,6,3,0.165
365,1364,6,7,0,7.08,0.32,5,0,4,0.168
366,1365,7,15,0,8.81,0.45,6,1,5,0.170
367,1366,8,23,0,10.55,0.58,7,2,6,0.173
368,1367,9,12,0,12.28,0.71,8,3,7,0.176
369,1368,10,20,0,14.01,0.84,9,4,8,0.178
370,1369,11,28,0,15.74,0.97,10,5,9,0.181
371,1370,12,17,0,17.47,0.10,11,6,10,0.183
372,1371,13,25,0,19.20,0.23,12,0,11,0.185
373,1372,14,14,0,20.93,0.36,1,1,12,0.188
374,1373,15,22,0,22.66,0.49,2,2,13,0.190
375,1374,16,30,1,24.39,0.62,3,3,14,0.192
376,1375,17,19,0,26.12,0.75,4,4,15,0.194
377,1376,18,27,0,27.86,0.88,5,5,16,0.196
378,1377,19,35,0,29.59,0.01,6,6,17,0.198
379,1378,20,24,0,31.32,0.14,7,0,18,0.200
380,1379,21,32,0,33.05,0.27,8,1,19,0.202
381,1380,22,21,0,34.78,0.40,9,2,20,0.204
382,1381,23,29,0,36.51,0.53,10,3,21,0.206
383,1382,24,37,0,38.24,0.66,11,4,22,0.208
384,1383,25,26,0,39.97,0.79,12,5,23,0.210
385,1384,26,34,0,41.70,0.92,1,6,0,0.211
386,1385,27,42,1,43.43,0.05,2,0,1,0.213
387,1386,28,31,0,45.17,0.18,3,1,2,0.215
388,1387,29,39,0,46.90,0.31,4,2,3,0.216
389,1388,30,47,0,48.63,0.44,5,3,4,0.218
390,1389,31,36,0,50.36,0.57,6,4,5,0.219
391,1390,32,44,0,52.09,0.70,7,5,6,0.221
392,1391,33,33,0,53.82,0.83,8,6,7,0.222
393,1392,34,41,0,55.55,0.96,9,0,8,0.223
394,1393,35,49,0,57.28,0.09,10,1,9,0.224
395,1394,36,38,0,59.01,0.22,11,2,10,0.226
396,1395,37,46,0,60.74,0.35,12,3,11,0.227
397,1396,38,54,1,62.48,0.48,1,4,12,0.228
398,1397,39,43,0,64.21,0.61,2,5,13,0.229
399,1398,40,51,0,65.94,0.74,3,6,14,0.230
400,1399,41,40,0,67.67,0.87,4,0,15,0.231
401,1400,42,48,0,69.40,0.00,5,1,16,0.232
402,1401,43,56,0,71.13,0.13,6,2,17,0.232
403,1402,44,45,0,72.86,0.26,7,3,18,0.233
404,1403,45,53,0,74.59,0.39,8,4,19,0.234
405,1404,46,61,0,76.32,0.52,9,5,20,0.234
406,1405,2,50,0,78.05,0.65,10,6,21,0.235
407,1406,3,58,0,79.79,0.78,11,0,22,0.235
408,1407,4,66,1,81.52,0.91,12,1,23,0.236
409,1408,5,55,0,83.25,0.04,1,2,0,0.236
410,1409,6,63,0,84.98,0.17,2,3,1,0.237
411,1410,7,52,0,86.71,0.30,3,4,2,0.237
412,1411,8,60,0,88.44,0.43,4,5,3,0.237
413,1412,9,68,0,1.17,0.56,5,6,4,0.237
414,1413,10,57,0,2.90,0.69,6,0,5,0.238
415,1414,11,65,0,4.63,0.82,7,1,6,0.238
416,1415,12,73,0,6.36,0.95,8,2,7,0.238
417,1416,13,62,0,8.10,0.08,9,3,8,0.238
418,1417,14,70,0,9.83,0.21,10,4,9,0.238
419,1418,15,59,1,11.56,0.34,11,5,10,0.238
420,1419,16,67,0,13.29,0.47,12,6,11,0.237
421,1420,17,75,0,15.02,0.60,1,0,12,0.237
422,1421,18,64,0,16.75,0.73,2,1,13,0.237
423,1422,19,72,0,18.48,0.86,3,2,14,0.237
424,1423,20,80,0,20.21,0.99,4,3,15,0.236
425,1424,21,69,0,21.94,0.12,5,4,16,0.236
426,1425,22,77,0,23.67,0.25,6,5,17,0.235
427,1426,23,85,0,25.41,0.38,7,6,18,0.235
428,1427,24,74,0,27.14,0.51,8,0,19,0.234
429,1428,25,82,0,28.87,0.64,9,1,20,0.234
430,1429,26,71,1,30.60,0.77,10,2,21,0.233
431,1430,27,79,0,32.33,0.90,11,3,22,0.232
432,1431,28,87,0,34.06,0.03,12,4,23,0.232
433,1432,29,76,0,35.79,0.16,1,5,0,0.231
434,1433,30,84,0,37.52,0.29,2,6,1,0.230
435,1434,31,92,0,39.25,0.42,3,0,2,0.229
436,1435,32,81,0,40.98,0.55,4,1,3,0.228
437,1436,33,89,0,42.72,0.68,5,2,4,0.227
438,1437,34,78,0,44.45,0.81,6,3,5,0.226
439,1438,35,86,0,46.18,0.94,7,4,6,0.225
440,1439,36,94,0,47.91,0.07,8,5,7,0.224
441,1440,37,83,1,49.64,0.20,9,6,8,0.223
442,1441,38,91,0,51.37,0.33,10,0,9,0.222
443,1442,39,99,0,53.10,0.46,11,1,10,0.221
444,1443,40,88,0,54.83,0.59,12,2,11,0.219
445,1444,41,96,0,56.56,0.72,1,3,12,0.218
446,1445,42,104,0,58.29,0.85,2,4,13,0.217
447,1446,43,93,0,60.03,0.98,3,5,14,0.216
448,1447,44,101,0,61.76,0.11,4,6,15,0.214
449,1448,45,90,0,63.49,0.24,5,0,16,0.213
450,1449,46,98,0,65.22,0.37,6,1,17,0.211
451,1450,2,106,0,66.95,0.50,7,2,18,0.210
452,1451,3,95,1,68.68,0.63,8,3,19,0.209
453,1452,4,103,0,70.41,0.76,9,4,20,0.207
454,1453,5,111,0,72.14,0.89,10,5,21,0.206
455,1454,6,100,0,73.87,0.02,11,6,22,0.204
456,1455,7,108,0,75.60,0.15,12,0,23,0.202
457,1456,8,97,0,77.34,0.28,1,1,0,0.201
458,1457,9,105,0,79.07,0.41,2,2,1,0.199
459,1458,10,113,0,80.80,0.54,3,3,2,0.198
460,1459,11,102,0,82.53,0.67,4,4,3,0.196
461,1460,12,110,0,84.26,0.80,5,5,4,0.194
462,1461,13,118,0,85.99,0.93,6,6,5,0.193
463,1462,14,107,1,87.72,0.06,7,0,6,0.191
464,1463,15,115,0,0.45,0.19,8,1,7,0.189
465,1464,16,123,0,2.18,0.32,9,2,8,0.187
466,1465,17,112,0,3.91,0.45,10,3,9,0.186
467,1466,18,120,0,5.65,0.58,11,4,10,0.184
468,1467,19,109,0,7.38,0.71,12,5,11,0.182
469,1468,20,117,0,9.11,0.84,1,6,12,0.180
470,1469,21,125,0,10.84,0.97,2,0,13,0.179
471,1470,22,114,0,12.57,0.10,3,1,14,0.177
472,1471,23,122,0,14.30,0.23,4,2,15,0.175
473,1472,24,130,0,16.03,0.36,5,3,16,0.173
474,1473,25,119,1,17.76,0.49,6,4,17,0.171
475,1474,26,127,0,19.49,0.62,7,5,18,0.169
476,1475,27,116,0,21.23,0.75,8,6,19,0.168
477,1476,28,124,0,22.96,0.88,9,0,20,0.166
478,1477,29,132,0,24.69,0.01,10,1,21,0.164
